date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
06/01/1900,England,Wales,3,13,1900 Home Nations Championship,Kingsholm,Gloucester,England,FALSE,FALSE
27/01/1900,Wales,Scotland,12,3,1900 Home Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
03/02/1900,England,Ireland,15,4,1900 Home Nations Championship,Athletic Ground,Richmond,England,FALSE,FALSE
24/02/1900,Ireland,Scotland,0,0,1900 Home Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
10/03/1900,Scotland,England,0,0,1900 Home Nations Championship,Inverleith,Edinburgh,Scotland,FALSE,FALSE
17/03/1900,Ireland,Wales,0,3,1900 Home Nations Championship,Balmoral Showgrounds,Balmoral,Ireland,FALSE,FALSE
05/01/1901,Wales,England,13,0,1901 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
09/02/1901,Scotland,Wales,18,8,1901 Home Nations Championship,Inverleith,Edinburgh,Scotland,FALSE,FALSE
09/02/1901,Ireland,England,10,6,1901 Home Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
23/02/1901,Scotland,Ireland,9,5,1901 Home Nations Championship,Inverleith,Edinburgh,Scotland,FALSE,FALSE
09/03/1901,England,Scotland,3,18,1901 Home Nations Championship,Rectory Field,Blackheath,England,FALSE,FALSE
16/03/1901,Wales,Ireland,10,9,1901 Home Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
11/01/1902,England,Wales,8,9,1902 Home Nations Championship,Rectory Field,Blackheath,England,FALSE,FALSE
01/02/1902,Wales,Scotland,14,5,1902 Home Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
08/02/1902,England,Ireland,6,3,1902 Home Nations Championship,Welford Road,Leicester,England,FALSE,FALSE
22/02/1902,Ireland,Scotland,5,0,1902 Home Nations Championship,Balmoral Showgrounds,Belfast,Ireland,FALSE,FALSE
06/03/1902,Ireland,Wales,0,15,1902 Home Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
15/03/1902,Scotland,England,3,6,1902 Home Nations Championship,Inverleith,Edinburgh,Scotland,FALSE,FALSE
10/01/1903,Wales,England,21,5,1903 Home Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
07/02/1903,Scotland,Wales,6,0,1903 Home Nations Championship,Inverleith,Edinburgh,Scotland,FALSE,FALSE
14/02/1903,Ireland,England,6,0,1903 Home Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
28/02/1903,Scotland,Ireland,3,0,1903 Home Nations Championship,Inverleith,Edinburgh,Scotland,FALSE,FALSE
14/03/1903,Wales,Ireland,18,0,1903 Home Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
21/03/1903,England,Scotland,6,10,1903 Home Nations Championship,Athletic Ground,Richmond,England,FALSE,FALSE
15/08/1903,Australia,New Zealand,3,22,1903 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
09/01/1904,England,Wales,14,14,1904 Home Nations Championship,Welford Road,Leicester,England,FALSE,FALSE
06/02/1904,Wales,Scotland,21,3,1904 Home Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
